epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,890.035,1.43623,3.50319,0.88642,0.59742,0.194,0.19294,0.12924,1.14344,1.25776,0.86294,0.00999705,0.00333235,0.00999705,0.00333235,0.00999705,0.00333235,0.00999705,0.00333235
2,1600.69,1.32411,1.93691,0.87166,0.53931,0.26777,0.30515,0.20858,1.08363,1.02679,0.85543,0.0190072,0.00633573,0.0190072,0.00633573,0.0190072,0.00633573,0.0190072,0.00633573
3,2234.86,1.31091,1.35855,0.87082,0.60702,0.30156,0.35424,0.2411,1.07195,0.98069,0.85403,0.0270273,0.00900911,0.0270273,0.00900911,0.0270273,0.00900911,0.0270273,0.00900911
4,2852,1.26358,1.16019,0.86341,0.57261,0.37506,0.42503,0.29373,1.02382,0.83673,0.84233,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,3454.87,1.20316,1.04349,0.8538,0.58739,0.44432,0.49213,0.34502,0.9829,0.76143,0.83577,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,4042.69,1.16766,0.97019,0.84848,0.66506,0.45687,0.54256,0.38264,0.96169,0.71179,0.83219,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,4629.3,1.13688,0.91937,0.84236,0.68116,0.48581,0.56642,0.40129,0.94079,0.67388,0.8291,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,5216.55,1.11656,0.8844,0.83952,0.73032,0.50805,0.61155,0.43465,0.92539,0.64481,0.82632,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,5803.31,1.10058,0.85313,0.83843,0.7245,0.5249,0.62557,0.45009,0.92038,0.62636,0.82516,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,6388.89,1.08778,0.8274,0.83595,0.71396,0.54696,0.64629,0.46448,0.90863,0.60528,0.82426,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,6971.14,1.04234,0.76996,0.84008,0.72487,0.5722,0.65391,0.47344,0.90152,0.59901,0.82308,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,7553.54,1.02786,0.74617,0.83888,0.70435,0.59642,0.67279,0.48644,0.89482,0.588,0.82184,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,8132.93,1.01793,0.72762,0.83676,0.72145,0.59007,0.67189,0.48707,0.88892,0.57673,0.82071,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,8713.83,1.00192,0.69904,0.83401,0.70848,0.61194,0.69614,0.50613,0.88373,0.56894,0.81974,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,9295.34,0.9921,0.67909,0.83321,0.70659,0.63649,0.71006,0.51801,0.87947,0.55975,0.8188,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,9875.83,0.97651,0.65516,0.83072,0.72516,0.63203,0.71639,0.52361,0.87652,0.55374,0.81826,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,10456.5,0.96352,0.63469,0.82778,0.71966,0.63863,0.7154,0.52338,0.87363,0.54824,0.81775,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,11038.1,0.95011,0.61493,0.8265,0.72682,0.64065,0.72235,0.52929,0.87137,0.54356,0.81736,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,11619.9,0.93456,0.59101,0.82351,0.73902,0.63533,0.72551,0.53373,0.86961,0.53992,0.81695,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,12199.6,0.92227,0.56965,0.82265,0.729,0.65333,0.72875,0.53647,0.86792,0.53643,0.8166,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
